held_out_cycle,building_id,review_day,feature,feature_value,shap_value,base_value,model_output
2025-2,Tags 1,7,review_day,7.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,days_to_day35,28.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,beginning_inventory,7090.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,log_beginning_inventory,8.866440619526173,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,percentage_alive,0.9782352941176471,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,population_loss_pct,2.176470588235291,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,population_loss_rate_pp_day,0.31092436974789867,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_daily_per_1000,1.6176470588235294,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_recent_3d_per_1000,6.764705882352941,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_recent_7d_per_1000,21.76470588235294,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_ewma_per_1000,3.067626953125,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_trend_per_1000,-1.4633365595475505,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_acceleration_per_1000,-2.0588235294117654,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_volatility_per_1000,1.3960712374652224,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_max_per_1000,6.1764705882352935,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_spike_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_recent_vs_early_per_1000,-0.3450164346564256,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,population_mortality_reconciliation_gap_per_1000,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,latest_weight_kg,0.149,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_target_kg,0.17,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_ratio_to_target,0.876470588235294,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_gap_pct,12.352941176470598,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_measurement_day,7.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_measurement_count,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_measurement_interval_days,7.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_recent_avg_c,28.510763888888867,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_recent_range_c,1.2987827332241988,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_history_avg_c,28.202874320532004,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_history_sd_c,1.0581590057414434,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_heat_excess_degree_days,3.8731605351170018,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_cold_excess_degree_days,5.303664302600598,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_out_of_band_days,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,temperature_missing,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_recent_avg_pct,79.39484126984127,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_recent_range_pp,4.288135638297852,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_history_avg_pct,80.04242140396332,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_history_sd_pct,4.060734715103182,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_high_excess_days,111.3578617022221,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_low_excess_days,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_out_of_band_days,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,humidity_missing,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,environment_recorded_days,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,environment_coverage_ratio,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,environment_staleness_days,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,peer_survival_mean,0.9844852941176471,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,survival_vs_peer,-0.006249999999999978,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,peer_mortality_7d_mean,15.51470588235294,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_7d_vs_peer,6.249999999999998,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,peer_latest_weight_mean,0.14549999999999996,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,weight_vs_peer,0.003500000000000031,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,peer_building_count,4.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,mortality_horizon_pressure,609.4117647058823,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,survival_horizon_interaction,27.390588235294118,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,environment_missing_both,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,environment_coverage_x_horizon,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,recent_mortality_share,0.9549886047100532,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,reconciliation_flag,0.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_mortality_trend_per_1000,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_mortality_recent_vs_early_per_1000,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_weight_measurement_interval_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_recent_avg_c,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_recent_range_c,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_history_avg_c,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_history_sd_c,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_heat_excess_degree_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_temperature_cold_excess_degree_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_recent_avg_pct,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_recent_range_pp,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_history_avg_pct,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_history_sd_pct,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_high_excess_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_humidity_low_excess_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_environment_staleness_days,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,7,missingindicator_recent_mortality_share,1.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,review_day,14.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,days_to_day35,21.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,beginning_inventory,7090.0,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,log_beginning_inventory,8.866440619526173,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,percentage_alive,0.9697058823529412,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
2025-2,Tags 1,14,population_loss_pct,3.0294117647058805,0.0,-1.0913936421275139e-11,-1.0913936421275139e-11
